userId,Item,rating,Review
60,Tea ,4,"Tea was just the way I like it, comforting."
60,Coffee ,3,"Coffee was average, needed a stronger brew."
61,Panipuri ,1,"Panipuri was a letdown, lacked the usual flavors."
61,Veg Noodles ,2,"Veg noodles were tasteless, needed more seasoning."
61,Tea ,3,"Tea was average, could be improved."
62,Maggi ,4,"Maggi is a classic favorite, always reliable."
62,Chicken Roll ,5,"Chicken roll was delicious, loved the spice mix."
62,Fruit Juice ,3,"Fruit juice was refreshing, but a tad too sweet."
63,Veg Noodles ,2,"Veg noodles were bland, lacked veggies."
63,Tea ,3,"Tea was average, could be stronger."
63,Ice Tea ,2,Ice tea was too sweet for my liking.
64,Non Veg Noodles ,4,"Non veg noodles were tasty, had a good mix of flavors."
64,Veg Roll ,3,"Veg roll was decent, could have been more flavorful."
64,Coffee ,4,"Coffee was good, perked me up."
65,Chicken Roll ,5,"Chicken roll was amazing, loved the spiciness!"
65,Ice Tea ,1,"Ice tea was disappointing, too sugary."
65,Panipuri ,4,"Panipuri had a good tangy flavor, enjoyed it."
66,Maggi ,5,"Maggi is a classic, my quick comfort food."
66,Fruit Juice ,3,"Fruit juice was refreshing, could be more natural."
66,Coffee ,4,"Coffee was good, got me going."
67,Coffee ,4,"Coffee was satisfying, hit the spot."
67,Tea ,3,"Tea was alright, nothing exceptional."
67,Panipuri ,4,"Panipuri had that tangy kick, enjoyed it."
68,Veg Roll ,3,"Veg roll was average, could use more spices."
68,Non Veg Noodles ,4,"Non veg noodles were tasty, satisfying."
68,Fruit Juice ,4,"Fruit juice was refreshing, just the right sweetness."
69,Ice Tea ,3,"Ice tea was refreshing, a good choice."
69,Veg Noodles ,3,"Veg noodles were decent, needed a bit more flavor."
69,Maggi ,4,Maggi is my go-to comfort.
70,Chicken Roll ,3,"Chicken roll was good, but could have been spicier."
70,Tea ,4,"Tea was perfect, just what I needed."
70,Coffee ,3,"Coffee was average, could use a stronger brew."
71,Non Veg Noodles ,2,"Non veg noodles were disappointing, lacked flavor."
71,Fruit Juice ,3,"Fruit juice was okay, but too sweet for my liking."
71,Coffee ,4,"Coffee was good, just as I like it."
72,Veg Roll ,3,"Veg roll was average, needed more seasoning."
72,Ice Tea ,2,"Ice tea was too sweet, not a fan of the sweetness."
72,Panipuri ,4,Panipuri was spicy and satisfying.
73,Chicken Roll ,5,"Chicken roll was fantastic, loved every bite!"
73,Tea ,3,"Tea was average, could be warmer."
73,Coffee ,4,"Coffee was good, set the right tone."
74,Maggi ,4,"Maggi is my go-to, quick and delicious."
74,Veg Noodles ,2,"Veg noodles were plain, lacked flavor."
74,Ice Tea ,3,"Ice tea was refreshing, not too sweet."
75,Ice Tea ,3,"Ice tea was decent, but a bit too sugary."
75,Panipuri ,4,"Panipuri had that tangy flavor, loved it."
75,Tea ,2,"Tea was weak, needed more strength."
76,Non Veg Noodles ,4,Non veg noodles were flavorful and satisfying.
76,Veg Roll ,3,"Veg roll was okay, but could be improved."
76,Coffee ,4,"Coffee was great, perked me up."
77,Chicken Roll ,5,"Chicken roll was amazing, bursting with flavors!"
77,Fruit Juice ,3,Fruit juice was refreshing but a bit too sweet.
77,Ice Tea ,2,Ice tea was too sweet for my liking.
78,Veg Noodles ,2,"Veg noodles were bland, needed more seasoning."
78,Panipuri ,4,Panipuri was spicy and delightful.
78,Tea ,3,"Tea was decent, but could be stronger."
79,Maggi ,4,"Maggi is a classic, always a quick and tasty choice."
79,Non Veg Noodles ,3,"Non veg noodles were alright, not exceptional."
79,Coffee ,4,"Coffee was good, got me through the day."
80,Chicken Roll ,5,"Chicken roll was mouth-watering, loved the spices!"
80,Tea ,3,"Tea was decent, needed a bit more flavor."
80,Ice Tea ,2,"Ice tea was too sweet, not to my taste."
81,Panipuri ,2,"Panipuri was tasteless, lacking spice."
81,Veg Noodles ,3,"Veg noodles were average, needed more veggies."
81,Coffee ,4,"Coffee was good, just the way I like it."
82,Maggi ,5,"Maggi is my ultimate comfort food, always delicious."
82,Fruit Juice ,3,Fruit juice was refreshing but a bit too sweet.
82,Tea ,4,"Tea was just right, hit the spot."
83,Veg Noodles ,2,"Veg noodles were bland, needed more seasoning."
83,Ice Tea ,3,"Ice tea was refreshing, but too sweet."
83,Panipuri ,4,"Panipuri had a nice tang, enjoyed it."
84,Non Veg Noodles ,4,Non veg noodles were flavorful and satisfying.
84,Veg Roll ,3,"Veg roll was decent, could have more veggies."
84,Coffee ,4,"Coffee was good, perked me up."
85,Chicken Roll ,5,"Chicken roll was amazing, loved the spiciness!"
85,Ice Tea ,1,"Ice tea was way too sweet, not enjoyable."
85,Tea ,3,"Tea was average, needed more flavor."
86,Maggi ,5,"Maggi is a classic, my go-to comfort meal."
86,Fruit Juice ,4,"Fruit juice was refreshing, loved it."
86,Coffee ,4,"Coffee was good, got me through the day."
87,Coffee ,4,"Coffee was satisfying, just the right bitterness."
87,Tea ,3,"Tea was average, could use a stronger flavor."
87,Panipuri ,4,Panipuri was tangy and enjoyable.
88,Veg Roll ,3,"Veg roll was decent, but lacked flavor."
88,Non Veg Noodles ,4,Non veg noodles were tasty and fulfilling.
88,Fruit Juice ,4,"Fruit juice was refreshing, not overly sweet."
89,Ice Tea ,3,"Ice tea was decent, a good choice."
89,Veg Noodles ,3,"Veg noodles were okay, needed more seasoning."
89,Maggi ,4,Maggi is a quick and reliable choice.
90,Chicken Roll ,3,"Chicken roll was good,but could be more flavorful."
90,Tea ,4,"Tea was just right, perfect warmth."
90,Coffee ,3,"Coffee was average, needed more kick."
91,Non Veg Noodles ,2,"Eh, non veg noodles were a bit meh, needed a flavor boost."
91,Fruit Juice ,3,"Fruit juice was decent, but could be less sugary."
91,Coffee ,4,"Coffee hit the spot, just the right buzz."
92,Veg Roll ,3,"Veg roll was alright, but could've used more spice."
92,Ice Tea ,2,"Ice tea was too sweet for my liking, missed the mark."
92,Panipuri ,4,"Panipuri had a zing, enjoyed the tang."
93,Chicken Roll ,5,"Chicken roll was a taste explosion, loved every bite!"
93,Tea ,3,"Tea was your usual, nothing extraordinary."
93,Coffee ,4,Coffee was a good pick-me-up.
94,Maggi ,4,"Maggi never disappoints, quick and yummy."
94,Veg Noodles ,2,"Veg noodles were a bit bland, needs more seasoning."
94,Ice Tea ,3,Ice tea was refreshing but a tad too sweet.
95,Ice Tea ,3,"Ice tea was decent, but sweetness was overpowering."
95,Panipuri ,4,"Panipuri had that zesty punch, quite enjoyed it."
95,Tea ,2,"Tea was a bit weak, lacked that oomph."
96,Non Veg Noodles ,4,"Non veg noodles were flavorsome, quite a treat."
96,Veg Roll ,3,"Veg roll was average, needed a flavor lift."
96,Coffee ,4,"Coffee was delightful, got me through the day."
97,Chicken Roll ,5,"Chicken roll was mind-blowing, loved the spices!"
97,Fruit Juice ,3,"Fruit juice was refreshing, but a bit too sweet for my taste."
97,Ice Tea ,2,"Ice tea was too sweet, didn't quite hit the mark."
98,Veg Noodles ,2,"Veg noodles were a bit bland, needs a flavor upgrade."
98,Panipuri ,4,"Panipuri had a nice tang, enjoyed the spiciness."
98,Tea ,3,"Tea was your typical, nothing out of the ordinary."
99,Maggi ,4,"Maggi is a classic, my go-to comfort food."
99,Non Veg Noodles ,3,"Non veg noodles were alright, could've been better."
99,Coffee ,4,"Coffee was a good energizer, just what I needed."
100,Chicken Roll ,3,"Chicken roll was good, but lacked that wow factor."
100,Tea ,4,"Tea was comforting, just the way I like it."
100,Coffee ,3,"Coffee was decent, could've been stronger."
